device-registry asset->create->Properties->$resource.properties.attributes->additionalProps	root->command-group:device-registry asset->command:create->argGroup: Properties->arg: $resource.properties.attributes->prop: additionalProps	ChangeType.REMOVE	"{""anyType"": true}"	""""""
device-registry asset->create->Properties->$resource.properties.datasets->item	root->command-group:device-registry asset->command:create->argGroup: Properties->arg: $resource.properties.datasets->prop: item	ChangeType.CHANGE	"{""type"": ""object"", ""args"": [{""type"": ""array<object>"", ""var"": ""$resource.properties.datasets[].dataPoints"", ""options"": [""data-points""], ""help"": {""short"": ""Array of data points that are part of the dataset. Each data point can have per-data point configuration.""}, ""item"": {""type"": ""object"", ""args"": [{""type"": ""string"", ""var"": ""$resource.properties.datasets[].dataPoints[].dataPointConfiguration"", ""options"": [""data-point-configuration""], ""help"": {""short"": ""Stringified JSON that contains connector-specific configuration for the data point. For OPC UA, this could include configuration like, publishingInterval, samplingInterval, and queueSize.""}}, {""type"": ""string"", ""var"": ""$resource.properties.datasets[].dataPoints[].dataSource"", ""options"": [""data-source""], ""required"": true, ""help"": {""short"": ""The address of the source of the data in the asset (e.g. URL) so that a client can access the data source on the asset.""}}, {""type"": ""string"", ""var"": ""$resource.properties.datasets[].dataPoints[].name"", ""options"": [""name""], ""required"": true, ""help"": {""short"": ""The name of the data point.""}}, {""type"": ""string"", ""var"": ""$resource.properties.datasets[].dataPoints[].observabilityMode"", ""options"": [""observability-mode""], ""help"": {""short"": ""An indication of how the data point should be mapped to OpenTelemetry.""}, ""default"": {""value"": ""None""}, ""enum"": {""items"": [{""name"": ""Counter"", ""value"": ""Counter""}, {""name"": ""Gauge"", ""value"": ""Gauge""}, {""name"": ""Histogram"", ""value"": ""Histogram""}, {""name"": ""Log"", ""value"": ""Log""}, {""name"": ""None"", ""value"": ""None""}]}}]}}, {""type"": ""string"", ""var"": ""$resource.properties.datasets[].datasetConfiguration"", ""options"": [""dataset-configuration""], ""help"": {""short"": ""Stringified JSON that contains connector-specific JSON string that describes configuration for the specific dataset.""}}, {""type"": ""string"", ""var"": ""$resource.properties.datasets[].name"", ""options"": [""name""], ""required"": true, ""help"": {""short"": ""Name of the dataset.""}}, {""type"": ""@Topic_create"", ""var"": ""$resource.properties.datasets[].topic"", ""options"": [""topic""], ""help"": {""short"": ""Object that describes the topic information for the specific dataset.""}}]}"	"{""type"": ""object"", ""args"": [{""type"": ""array<object>"", ""var"": ""$resource.properties.datasets[].dataPoints"", ""options"": [""data-points""], ""help"": {""short"": ""Array of data points that are part of the dataset. Each data point can have per-data point configuration.""}, ""item"": {""type"": ""object"", ""args"": [{""type"": ""string"", ""var"": ""$resource.properties.datasets[].dataPoints[].dataPointConfiguration"", ""options"": [""data-point-configuration""], ""help"": {""short"": ""Stringified JSON that contains connector-specific configuration for the data point. For OPC UA, this could include configuration like, publishingInterval, samplingInterval, and queueSize.""}}, {""type"": ""string"", ""var"": ""$resource.properties.datasets[].dataPoints[].dataSource"", ""options"": [""data-source""], ""required"": true, ""help"": {""short"": ""The address of the source of the data in the asset (e.g. URL) so that a client can access the data source on the asset.""}}, {""type"": ""string"", ""var"": ""$resource.properties.datasets[].dataPoints[].name"", ""options"": [""name""], ""required"": true, ""help"": {""short"": ""The name of the data point.""}}, {""type"": ""string"", ""var"": ""$resource.properties.datasets[].dataPoints[].observabilityMode"", ""options"": [""observability-mode""], ""help"": {""short"": ""An indication of how the data point should be mapped to OpenTelemetry.""}, ""default"": {""value"": ""None""}, ""enum"": {""items"": [{""name"": ""Counter"", ""value"": ""Counter""}, {""name"": ""Gauge"", ""value"": ""Gauge""}, {""name"": ""Histogram"", ""value"": ""Histogram""}, {""name"": ""Log"", ""value"": ""Log""}, {""name"": ""None"", ""value"": ""None""}]}}]}}, {""type"": ""string"", ""var"": ""$resource.properties.datasets[].datasetConfiguration"", ""options"": [""dataset-configuration""], ""help"": {""short"": ""Stringified JSON that contains connector-specific JSON string that describes configuration for the specific dataset.""}}, {""type"": ""string"", ""var"": ""$resource.properties.datasets[].name"", ""options"": [""name""], ""required"": true, ""help"": {""short"": ""Name of the dataset.""}}, {""type"": ""@TopicCreateOrUpdate_create"", ""var"": ""$resource.properties.datasets[].topic"", ""options"": [""topic""], ""help"": {""short"": ""Object that describes the topic information for the specific dataset.""}}]}"
device-registry asset->create->Properties->$resource.properties.defaultTopic->args	root->command-group:device-registry asset->command:create->argGroup: Properties->arg: $resource.properties.defaultTopic->prop: args	ChangeType.CHANGE	"[{""type"": ""string"", ""var"": ""@Topic_create.path"", ""options"": [""path""], ""required"": true, ""help"": {""short"": ""The topic path for messages published to an MQTT broker.""}}, {""type"": ""string"", ""var"": ""@Topic_create.retain"", ""options"": [""retain""], ""help"": {""short"": ""When set to 'Keep', messages published to an MQTT broker will have the retain flag set. Default: 'Never'.""}, ""default"": {""value"": ""Never""}, ""enum"": {""items"": [{""name"": ""Keep"", ""value"": ""Keep""}, {""name"": ""Never"", ""value"": ""Never""}]}}]"	"[{""type"": ""string"", ""var"": ""@TopicCreateOrUpdate_create.path"", ""options"": [""path""], ""required"": true, ""help"": {""short"": ""The topic path for messages published to an MQTT broker.""}}, {""type"": ""string"", ""var"": ""@TopicCreateOrUpdate_create.retain"", ""options"": [""retain""], ""help"": {""short"": ""When set to 'Keep', messages published to an MQTT broker will have the retain flag set. Default: 'Never'.""}, ""default"": {""value"": ""Never""}, ""enum"": {""items"": [{""name"": ""Keep"", ""value"": ""Keep""}, {""name"": ""Never"", ""value"": ""Never""}]}}]"
device-registry asset->create->Properties->$resource.properties.defaultTopic->cls	root->command-group:device-registry asset->command:create->argGroup: Properties->arg: $resource.properties.defaultTopic->prop: cls	ChangeType.CHANGE	"""Topic_create"""	"""TopicCreateOrUpdate_create"""
device-registry asset->create->Properties->$resource.properties.events->item	root->command-group:device-registry asset->command:create->argGroup: Properties->arg: $resource.properties.events->prop: item	ChangeType.CHANGE	"{""type"": ""object"", ""args"": [{""type"": ""string"", ""var"": ""$resource.properties.events[].eventConfiguration"", ""options"": [""event-configuration""], ""help"": {""short"": ""Stringified JSON that contains connector-specific configuration for the event. For OPC UA, this could include configuration like, publishingInterval, samplingInterval, and queueSize.""}}, {""type"": ""string"", ""var"": ""$resource.properties.events[].eventNotifier"", ""options"": [""event-notifier""], ""required"": true, ""help"": {""short"": ""The address of the notifier of the event in the asset (e.g. URL) so that a client can access the event on the asset.""}}, {""type"": ""string"", ""var"": ""$resource.properties.events[].name"", ""options"": [""name""], ""required"": true, ""help"": {""short"": ""The name of the event.""}}, {""type"": ""string"", ""var"": ""$resource.properties.events[].observabilityMode"", ""options"": [""observability-mode""], ""help"": {""short"": ""An indication of how the event should be mapped to OpenTelemetry.""}, ""default"": {""value"": ""None""}, ""enum"": {""items"": [{""name"": ""Log"", ""value"": ""Log""}, {""name"": ""None"", ""value"": ""None""}]}}, {""type"": ""@Topic_create"", ""var"": ""$resource.properties.events[].topic"", ""options"": [""topic""], ""help"": {""short"": ""Object that describes the topic information for the specific event.""}}]}"	"{""type"": ""object"", ""args"": [{""type"": ""string"", ""var"": ""$resource.properties.events[].eventConfiguration"", ""options"": [""event-configuration""], ""help"": {""short"": ""Stringified JSON that contains connector-specific configuration for the event. For OPC UA, this could include configuration like, publishingInterval, samplingInterval, and queueSize.""}}, {""type"": ""string"", ""var"": ""$resource.properties.events[].eventNotifier"", ""options"": [""event-notifier""], ""required"": true, ""help"": {""short"": ""The address of the notifier of the event in the asset (e.g. URL) so that a client can access the event on the asset.""}}, {""type"": ""string"", ""var"": ""$resource.properties.events[].name"", ""options"": [""name""], ""required"": true, ""help"": {""short"": ""The name of the event.""}}, {""type"": ""string"", ""var"": ""$resource.properties.events[].observabilityMode"", ""options"": [""observability-mode""], ""help"": {""short"": ""An indication of how the event should be mapped to OpenTelemetry.""}, ""default"": {""value"": ""None""}, ""enum"": {""items"": [{""name"": ""Log"", ""value"": ""Log""}, {""name"": ""None"", ""value"": ""None""}]}}, {""type"": ""@TopicCreateOrUpdate_create"", ""var"": ""$resource.properties.events[].topic"", ""options"": [""topic""], ""help"": {""short"": ""Object that describes the topic information for the specific event.""}}]}"
device-registry asset->create->Resource->$resource.location->type	root->command-group:device-registry asset->command:create->argGroup: Resource->arg: $resource.location->prop: type	ChangeType.CHANGE	"""ResourceLocation"""	"""string"""
device-registry asset->create->Resource->$resource.location->options	root->command-group:device-registry asset->command:create->argGroup: Resource->arg: $resource.location->prop: options	ChangeType.CHANGE	"[""l"", ""location""]"	"[""location""]"
device-registry asset->create->0->request->path->params->resourceGroupName->format	root->command-group:device-registry asset->command:create->operation ind: 0->request->path->params->arg: resourceGroupName->prop: format	ChangeType.CHANGE	"{""maxLength"": 90, ""minLength"": 1}"	"{""pattern"": ""^[-\\w\\._\\(\\)]+$"", ""maxLength"": 90, ""minLength"": 1}"
device-registry asset->create->0->request->body->schema->props->location->type	root->command-group:device-registry asset->command:create->operation ind: 0->request->body->schema->props->location->type	ChangeType.CHANGE	"""ResourceLocation"""	"""string"""
device-registry asset->create->0->request->body->schema->props->properties->clientFlatten	root->command-group:device-registry asset->command:create->operation ind: 0->request->body->schema->props->properties->clientFlatten	ChangeType.REMOVE	true
