api-center deleted-service->delete->0->request->path->params->resourceGroupName->format	root->command-group:api-center deleted-service->command:delete->operation ind: 0->request->path->params->arg: resourceGroupName->prop: format	ChangeType.CHANGE	"{""maxLength"": 90, ""minLength"": 1}"	"{""pattern"": ""^[-\\w\\._\\(\\)]+$"", ""maxLength"": 90, ""minLength"": 1}"
api-center deleted-service->delete->0->responses->error	root->command-group:api-center deleted-service->command:delete->operation ind: 0->responses->error	ChangeType.CHANGE	"{""isError"": true, ""body"": {""json"": {""schema"": {""type"": ""@MgmtErrorFormat""}}}}"	"{""isError"": true, ""body"": {""json"": {""schema"": {""readOnly"": true, ""type"": ""@MgmtErrorFormat""}}}}"
api-center deleted-service->show->0->request->path->params->resourceGroupName->format	root->command-group:api-center deleted-service->command:show->operation ind: 0->request->path->params->arg: resourceGroupName->prop: format	ChangeType.CHANGE	"{""maxLength"": 90, ""minLength"": 1}"	"{""pattern"": ""^[-\\w\\._\\(\\)]+$"", ""maxLength"": 90, ""minLength"": 1}"
api-center deleted-service->show->0->responses->error	root->command-group:api-center deleted-service->command:show->operation ind: 0->responses->error	ChangeType.CHANGE	"{""isError"": true, ""body"": {""json"": {""schema"": {""type"": ""@MgmtErrorFormat""}}}}"	"{""isError"": true, ""body"": {""json"": {""schema"": {""readOnly"": true, ""type"": ""@MgmtErrorFormat""}}}}"
api-center deleted-service->show->0->responses->200->body->schema->props->id->format	root->command-group:api-center deleted-service->command:show->operation ind: 0->responses->200->body->schema->props->id->format	ChangeType.REMOVE	"{""template"": ""/subscriptions/{}/resourceGroups/{}/providers/Microsoft.ApiCenter/deletedServices/{}""}"
api-center deleted-service->show->0->responses->200->body->schema->props->properties->clientFlatten	root->command-group:api-center deleted-service->command:show->operation ind: 0->responses->200->body->schema->props->properties->clientFlatten	ChangeType.REMOVE	true
api-center deleted-service->list->$Condition_DeletedServices_List	root->command-group:api-center deleted-service->command:list->condition var: $Condition_DeletedServices_List	ChangeType.CHANGE	"{""var"": ""$Condition_DeletedServices_List"", ""operator"": {""type"": ""and"", ""operators"": [{""type"": ""hasValue"", ""arg"": ""$Path.resourceGroupName""}, {""type"": ""hasValue"", ""arg"": ""$Path.subscriptionId""}]}}"	"{""var"": ""$Condition_DeletedServices_List"", ""operator"": {""type"": ""and"", ""operators"": [{""type"": ""hasValue"", ""arg"": ""$Path.resourceGroupName""}, {""type"": ""hasValue"", ""arg"": ""$Path.subscriptionId""}]}, ""checked"": true}"
api-center deleted-service->list->$Condition_DeletedServices_ListBySubscription	root->command-group:api-center deleted-service->command:list->condition var: $Condition_DeletedServices_ListBySubscription	ChangeType.CHANGE	"{""var"": ""$Condition_DeletedServices_ListBySubscription"", ""operator"": {""type"": ""and"", ""operators"": [{""type"": ""hasValue"", ""arg"": ""$Path.subscriptionId""}, {""type"": ""not"", ""operator"": {""type"": ""hasValue"", ""arg"": ""$Path.resourceGroupName""}}]}}"	"{""var"": ""$Condition_DeletedServices_ListBySubscription"", ""operator"": {""type"": ""and"", ""operators"": [{""type"": ""hasValue"", ""arg"": ""$Path.subscriptionId""}, {""type"": ""not"", ""operator"": {""type"": ""hasValue"", ""arg"": ""$Path.resourceGroupName""}}]}, ""checked"": true}"
api-center deleted-service->list->0->responses->error	root->command-group:api-center deleted-service->command:list->operation ind: 0->responses->error	ChangeType.CHANGE	"{""isError"": true, ""body"": {""json"": {""schema"": {""type"": ""@MgmtErrorFormat""}}}}"	"{""isError"": true, ""body"": {""json"": {""schema"": {""readOnly"": true, ""type"": ""@MgmtErrorFormat""}}}}"
api-center deleted-service->list->0->responses->200->body->schema->props->value->identifiers	root->command-group:api-center deleted-service->command:list->operation ind: 0->responses->200->body->schema->props->value->identifiers	ChangeType.ADD	"[""name""]"
api-center deleted-service->list->0->responses->200->body->schema->props->value->required	root->command-group:api-center deleted-service->command:list->operation ind: 0->responses->200->body->schema->props->value->required	ChangeType.ADD	true
